一	いち
一唱三嘆	いっしょうさんたん
一問	いちもん
一問一答	いちもんいっとう
一喜一憂	いっきいちゆう
一喝	いっかつ
一嗹	いちれん
一回	いっかい
一回り	ひとまわり
一回りもふた回りも	ひとまわりもふたまわりも
一回り小さい	ひとまわりちいさい
一回り小さな	ひとまわりちいさな
一回分	いっかいぶん
一回勝負	いっかいしょうぶ
一回忌	いっかいき
一回戦	いっかいせん
一回転	いちかいてん
一因	いちいん
一団	いちだん
一国	いっこく
一国一党主義	いっこくいっとうしゅぎ
一国一城	いっこくいちじょう
一国一城の主	いっこくいちじょうのあるじ
一国一票	いっこくいっぴょう
一国二制度	いっこくにせいど
一国者	いっこくもの
一坪本社	ひとつぼほんしゃ
一坪運動	ひとつぼうんどう
一堂	いちどう
一堪りも無く	ひとたまりもなく
一報	いっぽう
一場	いちじょう
一場面	いちばめん
一塁	いちるい
一塁に生きる	いちるいにいきる
一塁手	いちるいしゅ
一塁線	いちるいせん
一塊	いっかい
一塊り	いっかい
一塩	ひとしお
一塩基酸	いちえんきさん
一士	いっし
一声	いっせい
一変	いっぺん
一夕	いっせき
一夕偏	いちたへん
一夕話	いっせきわ
一夜	いちや
一夜中	いちやじゅう
一夜乞食	いちやこじき
一夜大尽	いちやだいじん
一夜大臣	いちやだいじん
一夜妻	いちやづま
一夜干	いちやぼし
一夜干し	いちやぼし
一夜漬	いちやづけ
一夜漬け	いちやづけ
一夜造り	いちやずくり
一夢	いちむ
一大	いちだい
一大事	いちだいじ
一大旋風	いちだいせんぷう
一大決心	いちだいけっしん
一大転機	いちだいてんき
一大鉄槌	いちだいてっつい
一天	いってん
一天万乗	いってんばんじょう
一天四海	いってんしかい
一太刀	ひとたち
一夫一妻	いっぷいっさい
一夫一婦	いっぷいっぷ
一夫多妻	いっぷたさい
一失	いっしつ
一女	いちじょ
一如	いちにょ
一妻多夫	いっさいたふ
一姫二太郎	いちひめにたろう
一子	いっし
一子相伝	いっしそうでん
一字	いちじ
一字一句	いちじいっく
一字一字	いちじいちじ
一字削る	いちじけずる
一字千金	いちじせんきん
一字半句	いちじはんく
一字空ける	いちじあける
一存	いちぞん
一安心	ひとあんしん
一宗	いっしゅう
一定	いってい
一定不変	いっていふへん
一定期間	いっていきかん
一定温度	いっていおんど
一定量	いっていりょう
一室	いっしつ
一家	いっか
一家の主	いっかのあるじ
一家の長	いっかのちょう
一家を支える	いっかをささえる
一家団欒	いっかだんらん
一家心中	いっかしんじゅう
一家掛かりで	いっかがかりで
一家族	ひとかぞく
一家眷属	いっかけんぞく
一家言	いっかげん
一家離散	いっかりさん
一宿	いっしゅく
一宿一飯	いっしゅくいっぱん
一寝入り	ひとねいり
一審	いっしん
一寸	ちょっと
一寸した	ちょっとした
一寸の光陰軽んずべからず	いっすんのこういんかろんずべからず
一寸やそっと	ちょっとやそっと
一寸先	いっすんさき
一寸先は闇	いっすんさきはやみ
一寸法師	いっすんぼうし
一寸見	ちょっとみ
一寸逃れ	いっすんのがれ
一対	いっつい
一対一	いったいいち
一対一の写像	いちたいいちのしゃぞう
一封	いっぷう
一将	いっしょう
一尉	いちい
一尺	いっしゃく
一局	いっきょく
一局部	いちきょくぶ
一層	いっそう
一層目	いっそうめ
一山	いっさん
一山当てる	ひとやまあてる
一山越す	ひとやまこす
一巡	いちじゅん
一巡り	いっしゅう
一工夫	ひとくふう
一差し	ひとさし
一己	いっこ
一巻	ひとまき
一帖	いちじょう
一席	いっせき
一帯	いったい
一帳羅	いっちょうら
一幅	いっぷく
一幕	ひとまく
一幕物	ひとまくもの
一幕見席	ひとまくみせき
一年	いちねん
一年の計は元旦にあり	いちねんのけいはがんたんにあり
一年中	いちねんじゅう
一年以内に	いちねんいないに
一年前	いちねんまえ
一年有半	いちねんゆうはん
一年毎	いちねんごと
一年生	いちねんせい
一年生植物	いちねんせいしょくぶつ
一年生草本	いちねんせいそうほん
一年草	いちねんそう
一年間	いちねんかん
一度	いちど
一度に	いちどに
一度丈	いちどだけ
一座	いちざ
一廉	ひとかど
一式	いっしき
一弦琴	いちげんきん
一張	いっちょう
一張一弛	いっちょういっし
一張羅	いっちょうら
一形式	いっけいしき
一形態	いっけいたい
一役	ひとやく
一役買う	ひとやくかう
一往	いちおう
一律	いちりつ
一律に	いちりつに
一律減反	いちりつげんたん
一得	いっとく
一得一失	いっとくいっしつ
一徳	いっとく
一徹	いってつ
一徹短慮	いってつたんりょ
一徹者	いってつもの
一心	いっしん
一心に	いっしんに
一心不乱	いっしんふらん
一心同体	いっしんどうたい
一応	いちおう
一応聞いて置く	いちおうきいておく
一念	いちねん
一念ほっき	いちねんほっき
一念発起	いちねんほっき
一思いに	ひとおもいに
一息	ひといき
一息入れる	ひといきいれる
一意	いちい
一意専心	いちいせんしん
一戦	いっせん
一戸	いっこ
一戸建て	いっこだて
一房の髪	ひとふさのかみ
一所	いっしょ
一所不住	いっしょふじゅう
一所懸命	いっしょけんめい
一手	ひとて
一手に	いってに
一手販売	いってはんばい
一手販売代理権	いってはんばいだいりけん
一手販売契約	いってはんばいけいやく
一手販売権	いってはんばいけん
一才	いっさい
一打	いちだ
一打ち	ひとうち
一打逆転	いちだぎゃくてん
一把	いちわ
一折り	ひとおり
一択	いったく
一抱え	ひとかかえ
一抹	いちまつ
一押し	ひとおし
一拍	いっぱく
一括	いっかつ
一括め	ひとくるめ
一括り	ひとくくり
一括売買	いっかつばいばい
一括式	いっかつしき
一括払い	いっかつはらい
一括購入	いっかつこうにゅう
一指	いっし
一指し	ひとさし
一指当たり	いちゆびあたり
一挙	いっきょ
一挙に	いっきょに
一挙一動	いっきょいちどう
一挙両全	いっきょりょうぜん
一挙両得	いっきょりょうとく
一挙手一投足	いっきょしゅいっとうそく
一捻り	ひとひねり
一掃	いっそう
一掬	いっきく
一掴み	ひとつかみ
一揃い	ひとそろい
一揃え	ひとそろえ
一揆	いっき
一握	いちあく
一握り	ひとにぎり
一摘み	ひとつまみ
一撃	いちげき
一撃の下に	いちげきのもとに
一撮	ひとつまみ
一撮み	ひとつまみ
一擲	いってき
一擲千金	いってきせんきん
一攫	いっかく
一攫千金	いっかくせんきん
一攫千金を夢見る	いっかくせんきんをゆめみる
一敗	いっぱい
一敗地に塗れる	いっぱいちにまみれる
一散に	いっさんに
一文	いちもん
一文不知	いちもんふち
一文不通	いちもんふつう
一文商い	いちもんあきない
一文字	ひともじ
一文惜しみ	いちもんおしみ
一文惜み	いちもんおしみ
一文無し	いちもんなし
一斉	いっせい
一斉に	いっせいに
一斉安	いっせいやす
一斉射撃	いっせいしゃげき
一斉検挙	いっせいけんきょ
一斉高	いっせいだか
一斑	いっぱん
一斗	いっと
一斤	いっきん
一新	いっしん
一新紀元	いっしんきげん
一方	いっぽう
一方ならず	ひとかたならず
一方ならぬ	ひとかたならぬ
一方交通	いっぽうこうつう
一方的	いっぽうてき
一方通行	いっぽうつうこう
一族	いちぞく
一族郎党	いちぞくろうとう
一旗	ひとはた
一旗揚げる	ひとはたあげる
一日	ついたち
一日の長	いちじつのちょう
