一	いち
天地創造	てんちそうぞう
天地晦冥	てんちかいめい
天地有情	てんちうじょう
天地無用	てんちむよう
天地玄黄	てんちげんこう
天地神明	てんちしんめい
天地長久	てんちちょうきゅう
天地開闢	てんちかいびゃく
天地鳴動	てんちめいどう
天堂	てんどう
天壌	てんじょう
天壌無窮	てんじょうむきゅう
天声	てんせい
天変	てんぺん
天変地異	てんぺんちい
天変地異説	てんぺんちいせつ
天外	てんがい
天女	てんにょ
天威	てんい
天婦羅	てんぷら
天子	てんし
天子の座	てんしのざ
天孫	てんそん
天孫降臨	てんそんこうりん
天守	てんしゅ
天守閣	てんしゅかく
天安	てんあん
天安門事件	てんあんもんじけん
天宮図	てんきゅうず
天寿	てんじゅ
天嶮	てんけん
天工	てんこう
天帝	てんてい
天帝星	てんていせい
天幕	てんまく
天幕製造人	てんまくせいぞうにん
天幕造り	てんまくづくり
天干	てんかん
天平	てんぴょう
天平勝宝	てんぴょうしょうほう
天平宝字	てんぴょうほうじ
天平感宝	てんぴょうかんぽう
天平時代	てんぴょうじだい
天平神護	てんぴょうじんご
天底	てんてい
天府	てんぷ
天延	てんえん
天引き	てんびき
天徳	てんとく
天心	てんしん
天応	てんおう
天性	てんせい
天恩	てんおん
天恵	てんけい
天意	てんい
天慶	てんけい
天成	てんせい
天成の美	てんせいのび
天手古舞	てんてこまい
天手古舞い	てんてこまい
天才	てんさい
天才と狂人は紙一重	てんさいときょうじんはかみひとえ
天才児	てんさいじ
天才的	てんさいてき
天才肌	てんさいはだ
天承	てんしょう
天授	てんじゅ
天敵	てんてき
天敵関係	てんてきかんけい
天文	てんぶん
天文台	てんもんだい
天文天頂	てんもんてんちょう
天文学	てんもんがく
天文学的	てんもんがくてき
天文学的数字	てんもんがくてきすうじ
天文学者	てんもんがくしゃ
天文家	てんもんか
天文航法	てんもんこうほう
天日	てんじつ
天日塩	てんじつえん
天日法	てんぴほう
天日瓦	てんじつがわら
天明	てんめい
天晴れ	あっぱれ
天暦	てんりゃく
天朝	てんちょう
天来	てんらい
天杯	てんぱい
天柱	てんちゅう
天業	てんぎょう
天極	てんきょく
天機	てんき
天正	てんしょう
天気	てんき
天気の崩れ	てんきのくずれ
天気予報	てんきよほう
天気具合	てんきぐあい
天気図	てんきず
天気屋	てんきや
天気情報	てんきじょうほう
天気概況	てんきがいきょう
天気模様	てんきもよう
天気次第	てんきしだい
天気相談所	てんきそうだんじょ
天気運	てんきうん
天気都合	てんきつごう
天気雨	てんきあめ
天水	てんすい
天水桶	てんすいおけ
天永	てんえい
天河	てんが
天治	てんじ
天泣	てんきゅう
天津	あまつ
天津乙女	あまつおとめ
天津御姉	あまつみこ
天津御祖	あまつみおや
天津日嗣	あまつひつぎ
天津神	あまつかみ
天涯	てんがい
天涯万里	てんがいばんり
天涯地角	てんがいちかく
天涯孤独	てんがいこどく
天涯比隣	てんがいひりん
天減	てんびき
天測	てんそく
天滓	てんかす
天漢	てんかん
天火	てんぴ
天災	てんさい
天災地変	てんさいちへん
天為	てんい
天然	てんねん
天然に	てんねんに
天然ぼけ	てんねんボケ
天然ガス	てんねんガス
天然キャラ	てんねんキャラ
天然ボケ	てんねんボケ
天然塩	てんねんえん
天然惚け	てんねんボケ
天然果汁	てんねんかじゅう
天然港	てんねんこう
天然痘	てんねんとう
天然硝子	てんねんがらす
天然色	てんねんしょく
天然色写真	てんねんしょくしゃしん
天然記念物	てんねんきねんぶつ
天然資源	てんねんしげん
天然資源保護論者	てんねんしげんほごろんしゃ
天然香料	てんねんこうりょう
天照大御神	あまてらすおおみかみ
天照大神	あまてらすおおみかみ
天照皇大神	あまてらすおおみかみ
天爵	てんしゃく
天父	てんぷ
天爾乎波	てにをは
天爾遠波	てにをは
天牛	かみきりむし
天狐	てんこ
天狗	てんぐ
天狗茸	てんぐたけ
天狗話	てんぐばなし
天狗風	てんぐかぜ
天狼星	てんろうせい
天王山	てんのうざん
天王星	てんおうせい
天球	てんきゅう
天球儀	てんきゅうぎ
天球図	てんきゅうず
天球座標	てんきゅうざひょう
天理	てんり
天理人情	てんりにんじょう
天理人道	てんりじんどう
天理教	てんりきょう
天瓜粉	てんかふん
天生	てんせい
天産	てんさん
天産物	てんさんぶつ
天皇	てんのう
天皇制	てんのうせい
天皇家	てんのうけ
天皇崇拝	てんのうすうはい
天皇旗	てんのうき
天皇杯	てんのうはい
天皇機関説	てんのうきかんせつ
天皇誕生日	てんのうたんじょうび
天皇賜杯	てんのうしはい
天皇陛下	てんのうへいか
天盃	てんぱい
天目山	てんもくざん
天真	てんしん
天真流露	てんしんりゅうろ
天真爛漫	てんしんらんまん
天眼	てんげん
天眼通	てんがんつう
天眼鏡	てんがんきょう
天社蛾	しゃちほこが
天祐	てんゆう
天祖	てんそ
天神	てんじん
天神地祇	てんしんちぎ
天神地祗	てんじんちぎ
天神髭	てんしんひげ
天禄	てんろく
天福	てんぷく
天秤	てんびん
天秤にかける	てんびんにかける
天秤に掛ける	てんびんにかける
天秤宮	てんびんきゅう
天秤座	てんびんざ
天秤棒	てんびんぼう
天稟	てんぴん
天空	てんくう
天空海濶	てんくうかいかつ
天空海闊	てんくうかいかつ
天窓	てんまど
天竜八部衆	てんりゅうはちぶしゅう
天童	てんどう
天竺	てんじく
天竺浪人	てんじくろうにん
天竺牡丹	てんじくぼたん
天竺葵	てんじくあおい
天竺鼠	てんじくねずみ
天籟	てんらい
天糸瓜	へちま
天網	てんもう
天網恢々	てんもうかいかい
天網恢恢	てんもうかいかい
天網恢恢疎にして漏らさず	てんもうかいかいそにしてもらさず
天罰	てんばつ
天罰覿面	てんばつてきめん
天翔ける	あまがける
天翔る	あまがける
天聞	てんぶん
天聴	てんちょう
天職	てんしょく
天色	てんしょく
天花	てんか
天花粉	てんかふん
天草	てんぐさ
天蓋	てんがい
天蚕	てんさん
天蚕糸	てぐす
天蛾	すずめが
天蠍宮	てんかつきゅう
天衣	てんい
天衣無縫	てんいむほう
天袋	てんぶくろ
天覧	てんらん
天覧相撲	てんらんずもう
天覧試合	てんらんじあい
天誅	てんちゅう
天警	てんけい
天譴	てんけん
天象	てんしょう
天象儀	てんしょうぎ
天資	てんし
天資英邁	てんしえいまい
天賜	てんし
天賦	てんぷ
天賦人権	てんぷじんけん
天質	てんしつ
天路	てんとう
天路歴程	てんろれきてい
天軍	てんぐん
天軸	てんじく
天辺	てっぺん
天辺に	てっぺんに
天運	てんうん
天遍	てんぺん
天道	てんとう
天道乾	てんとうぼし
天道干し	てんとうぼし
天道様	てんとうさま
天道虫	てんとうむし
天邪久	あまのじゃく
天邪鬼	あまのじゃく
天重	てんじゅう
天金	てんきん
天長	てんちょう
天長地久	てんちょうちきゅう
天長節	てんちょうせつ
天降り	あまくだり
天降る	あまくだる
天険	てんけん
天険に拠る	てんけんによる
天際	てんさい
天雲	あまぐも
天雷	てんらい
天面	てんめん
天頂	てんちょう
天頂儀	てんちょうぎ
天頂点	てんちょうてん
天頂距離	てんちょうきょり
天領	てんりょう
天顔	てんがん
天養	てんよう
天馬	てんば
天馬空を行く	てんばくうをいく
天魔	てんま
天鵝絨	びろうど
天鵞絨	びろうど
天麩羅	てんぷら
天龍八部衆	てんりゅうはちぶしゅう
太々しい	ふてぶてしい
太い	ふとい
太い線	ふといせん
太い腕	ふというで
太い鉛筆	ふといえんぴつ
太った	ふとった
太っちょ	ふとっちょ
太っ腹	ふとっぱら
太め	ふとめ
太もも	ふともも
太り気味	ふとりぎみ
太り肉	ふとりじし
太り過ぎ	ふとりすぎ
太る	ふとる
太マラ	ふとマラ
太元帥妙王	だいげんすいみょうおう
太公望	たいこうぼう
太刀	たち
太刀二腰	たちふたこし
太刀先	たちさき
太刀打ち	たちうち
太刀持	たちもち
太刀持ち	たちもち
太刀捌き	たちさばき
太刀筋	たちすじ
太刀魚	たちうお
太初	たいしょ
太古	たいこ
太古代	たいこだい
太后	たいこう
太太しい	ふてぶてしい
太夫	たゆう
太子	たいし
太字	ふとじ
太守	たいしゅ
太宰府	だざいふ
太巻	ふとまき
太巻き	ふとまき
太平	たいへい
太平楽	たいへいらく
太平洋	たいへいよう
太平洋安全保障条約	たいへいようあんぜんほしょうじょうやく
太平洋岸	たいへいようがん
太平洋戦争	たいへいようせんそう
太平洋横断	たいへいようおうだん
太平洋経済協力会議	たいへいようけいざいきょうりょくかいぎ
太平無事	たいへいぶじ
太政大臣	だいじょうだいじん
太書き	ふとがき
太枠	ふとわく
太極	たいきょく
太極拳	たいきょくけん
太白	たいはく
太皇太后	たいこうたいごう
太祖	たいそ
太糸	ふといと
太織り	ふとおり
太股	ふともも
太腹	ふとばら
太腿	ふともも
太虚	たいきょ
太閤	たいこう
太陰	たいいん
太陰太陽暦	たいいんたいようれき
太陰崇拝	たいいんすうはい
太陰暦	たいいんれき
太陰月	たいいんげつ
太陰潮	たいいんちょう
太陽	たいよう
太陽エネルギー	たいようエネルギー
太陽フレア	たいようふれあ
太陽光	たいようこう
太陽光発電	たいようこうはつでん
太陽光線	たいようこうせん
太陽及び地球	たいようおよびちきゅう
太陽年	たいようねん
太陽放射	たいようほうしゃ
太陽日	たいようじつ
太陽暦	たいようれき
太陽潮	たいようちょう
太陽灯	たいようとう
太陽炉	たいようろ
太陽熱	たいようねつ
太陽熱温水器	たいようねつおんすいき
太陽熱発電	たいようねつはつでん
太陽神	たいようしん
太陽神経叢	たいようしんけいそう
太陽系	たいようけい
太陽虫	たいようちゅう
太陽蝶	タイヨウチョウ
太陽電池	たいようでんち
太陽電池パネル	たいようでんちパネル
太陽電波	たいようでんぱ
太陽風	たいようふう
太陽鳥	タイヨウチョウ
太陽黒点	たいようこくてん
太鼓	たいこ
太鼓内訳	たいこうちわけ
太鼓判	たいこばん
太鼓台	たいこだい
太鼓打	たいこうち
太鼓持ち	たいこもち
太鼓橋	たいこばし
太鼓腹	たいこばら
太鼓虫	たいこむし
夫	おっと
夫々	それぞれ
夫に嫌われる	おっとにきらわれる
夫に良く仕える	おっとによくつかえる
夫の君	せのきみ
夫の権利	おっとのけんり
夫れ夫れ	それぞれ
夫を立てる	おっとをたてる
夫人	ふじん
夫君	ふくん
夫唱婦随	ふしょうふずい
夫夫	それぞれ
夫妻	ふさい
夫婦	ふうふ
夫婦きどり	ふうふきどり
夫婦の仲を裂く	ふうふのなかをさく
夫婦の和	ふうふのわ
夫婦の縁を結ぶ	ふうふのえんをむすぶ
夫婦の道	ふうふのみち
夫婦仲	ふうふなか
夫婦共稼ぎ	ふうふともかせぎ
夫婦円満	ふうふえんまん
夫婦別れ	ふうふわかれ
夫婦別姓	ふうふべっせい
夫婦喧嘩	ふうふげんか
夫婦気取り	ふうふきどり
夫婦生活	ふうふせいかつ
夫婦約束	ふうふやくそく
夫婦茶碗	めおとぢゃわん
夫婦連れ	ふうふづれ
夫婦間	ふうふかん
夫婦関係	ふうふかんけい
夫婦養子	ふうふようし
夫子	ふうし
夫役	ふえき
夫権	ふけん
夭	よう
夭折	ようせつ
夭死	ようし
夭逝	ようせい
失う	うしなう
失くす	なくす
失する	しっする
失せる	うせる
失せろ	うせろ
失せ去る	うせさる
失せ物	うせもの
失体	しったい
失保	しつほ
失効	しっこう
失効日	しっこうび
失名	しつめい
失名氏	しつめいし
失命	しつめい
失地	しっち
失地回復	しっちかいふく
失墜	しっつい
失声症	しっせいしょう
失対	しったい
失当	しっとう
失心	しっしん
失念	しつねん
失恋	しつれん
失意	しつい
失意泰然	しついたいぜん
失態	しったい
失投	しっとう
失政	しっせい
失敗	しっぱい
失敗の恐れ	しっぱいのおそれ
失敗の虞	しっぱいのおそれ
失敗は成功のもと	しっぱいはせいこうのもと
失敗は成功の元	しっぱいはせいこうのもと
失敗作	しっぱいさく
失敗率	しっぱいりつ
失敗者	しっぱいしゃ
失敗談	しっぱいだん
失敬	しっけい
失敬千万	しっけいせんばん
失明	しつめい
失明者	しつめいしゃ
失望	しつぼう
失望する所か	しつぼうするどころか
失望落胆	しつぼうらくたん
失格	しっかく
失格者	しっかくしゃ
失業	しつぎょう
失業保険	しつぎょうほけん
失業労働者	しつぎょうろうどうしゃ
失業対策	しつぎょうたいさく
失業手当て	しつぎょうてあて
失業率	しつぎょうりつ
失業給付	しつぎょうきゅうふ
失業者	しつぎょうしゃ
失楽園	しつらくえん
失権	しっけん
失火	しっか
失点	しってん
失着	しっちゃく
失礼	しつれい
失礼しました	しつれいしました
失礼千万	しつれいせんばん
失礼至極	しつれいしごく
失神	しっしん
失禁	しっきん
失笑	しっしょう
失策	しっさく
失考	しっこう
失職	しっしょく
失職者	しっしょくしゃ
失脚	しっきゃく
失血	しっけつ
失行	しっこう
失見当	しつけんとう
失言	しつげん
失語	しつご
失語症	しつごしょう
失読症	しつどくしょう
失調	しっちょう
失費	しっぴ
失跡	しっせき
失踪	しっそう
失踪宣告	しっそうせんこく
失透	しっとう
失速	しっそく
失錯	しっさく
失陥	しっかん
夷	えびす
夷人	いじん
夷俗	いぞく
夷国	いこく
夷狄	いてき
夷草	えびすぐさ
夷蛮戎狄	いばんじゅうてき
夾侍	きょうじ
夾竹桃	きょうちくとう
夾角	きょうかく
夾雑物	きょうざつぶつ
奄々	えんえん
奄奄	えんえん
奇	き
奇々怪々	ききかいかい
奇しき	くしき
奇しくも	くしくも
奇っ怪	きかい
奇なる	きなる
奇をてらう	きをてらう
奇を衒う	きをてらう
奇人	きじん
奇体	きたい
奇偶	きぐう
奇兵	きへい
奇効	きこう
奇勝	きしょう
奇問	きもん
奇声	きせい
奇天烈	きてれつ
奇奇怪怪	ききかいかい
奇妙	きみょう
奇妙さ	きみょうさ
奇妙な話	きみょうなはなし
奇妙な話だが	きみょうなはなしだが
奇岩	きがん
奇岩怪石	きがんかいせき
奇巌	きがん
奇弁	きべん
奇形	きけい
奇形児	きけいじ
奇怪	きかい
奇怪千万	きかいせんばん
奇想	きそう
奇想天外	きそうてんがい
奇想曲	きそうきょく
奇態	きたい
奇態なことに	きたいなことに
奇手	きしゅ
奇才	きさい
奇抜	きばつ
奇数	きすう
奇智	きち
奇書	きしょ
奇特	きとく
奇瑞	きずい
奇異	きい
奇病	きびょう
奇癖	きへき
奇知	きち
奇矯	ききょう
奇矯な癖	ききょうなへき
奇祭	きさい
奇策	きさく
奇策縦横	きさくじゅうおう
奇縁	きえん
奇習	きしゅう
奇聞	きぶん
奇行	きこう
奇術	きじゅつ
奇術師	きじゅつし
奇襲	きしゅう
奇襲攻撃	きしゅうこうげき
奇観	きかん
奇計	きけい
奇談	きだん
奇譚	きたん
奇警	きけい
奇貨	きか
奇貨可居	きかおくべし
奇貨居くべし	きかおくべし
奇跡	きせき
奇跡的	きせきてき
奇蹄目	きていもく
奇蹟	きせき
奇遇	きぐう
奇関数	きかんすう
奇骨	きこつ
奇麗	きれい
奇麗な器	きれいなうつわ
奇麗事	きれいごと
奇麗好き	きれいずき
奇麗所	きれいどころ
奈何	いかが
奈良時代	ならじだい
奈良漬	ならづけ
奈良漬け	ならづけ
奈良県	ならけん
奈落	ならく
奈落の底	ならくのそこ
奈辺	なへん
奉じる	ほうじる
奉ずる	ほうずる
奉る	たてまつる
奉仕	ほうし
奉仕品	ほうしひん
奉仕女	ほうしめ
奉仕活動	ほうしかつどう
奉仕者	ほうししゃ
奉伺	ほうし
奉体	ほうたい
奉公	ほうこう
奉公人	ほうこうにん
奉公先	ほうこうさき
奉公口	ほうこうぐち
奉加	ほうが
奉加帳	ほうがちょう
奉呈	ほうてい
奉告	ほうこく
奉唱	ほうしょう
奉奠	ほうてん
奉安	ほうあん
奉幣	ほうへい
奉幣使	ほうへいし
奉戴	ほうたい
奉拝	ほうはい
奉持	ほうじ
奉書	ほうしょ
奉書紙	ほうしょがみ
奉灯	ほうとう
奉献	ほうけん
奉献式	ほうけんしき
奉献物	ほうけんぶつ
奉献頌	ほうけんしょう
奉祀	ほうし
奉祝	ほうしゅく
奉答	ほうとう
奉納	ほうのう
奉納物	ほうのうぶつ
奉納相撲	ほうのうずもう
奉納額	ほうのうがく
奉職	ほうしょく
奉行	ぶぎょう
奉行所	ぶぎょうしょ
奉読	ほうどく
奉賀	ほうが
奉賀帳	ほうがちょう
奉賛	ほうさん
奉迎	ほうげい
奉迎門	ほうげいもん
奉送	ほうそう
奉遷	ほうせん
奉還	ほうかん
奏する	そうする
奏でる	かなでる
奏上	そうじょう
奏功	そうこう
奏効	そうこう
奏曲	そうきょく
奏楽	そうがく
奏法	そうほう
奏者	そうしゃ
奏聞	そうもん
奏請	そうせい
奏鳴曲	そうめいきょく
契り	ちぎり
契る	ちぎる
契印	けいいん
契合	けいごう
契機	けいき
契約	けいやく
契約不履行	けいやくふりこう
契約交渉	けいやくこうしょう
契約問題	けいやくもんだい
契約更改	けいやくこうかい
契約書	けいやくしょ
契約期間	けいやくきかん
契約社員	けいやくしゃいん
契約者	けいやくしゃ
契約金	けいやくきん
契約雇用	けいやくこよう
奔る	はしる
奔出	ほんしゅつ
奔命	ほんめい
奔放	ほんぽう
奔放不羈	ほんぽうふき
奔放自在	ほんぽうじざい
奔流	ほんりゅう
奔走	ほんそう
奔逸	ほんいつ
奔馬	ほんば
奔騰	ほんとう
奕	えき
奕世	えきせい
奚琴	けいきん
奠都	てんと
奢り	おごり
奢る	おごる
奢る平家久しからず	おごるへいけひさしからず
奢侈	しゃし
奥	おく
奥さん	おくさん
奥さん孝行	おくさんこうこう
奥の手	おくのて
奥の間	おくのま
奥の院	おくのいん
奥まって	おくまって
奥まる	おくまる
奥ゆかしい	おくゆかしい
奥付け	おくづけ
奥伝	おくでん
奥勤め	おくづとめ
奥印	おくいん
奥向き	おくむき
奥地	おうち
奥妙	おうみょう
奥宮	おくみや
奥山	おくやま
奥山放獣	おくやまほうじゅう
奥州	おうしゅう
奥床しい	おくゆかしい
奥底	おくそこ
奥座敷	おくざしき
奥庭	おくにわ
奥御殿	おくごてん
奥意	おくい
奥手	ばんとう
奥方	おくがた
奥旨	おうし
奥書き	おくがき
奥様	おくさま
奥歯	おくば
奥深い	おくふかい
奥深さ	おくふかさ
奥社	おくしゃ
奥義	おくぎ
奥義を究める	おうぎをきわめる
奥義書	おうぎしょ
奥義秘伝	おうぎひでん
奥行	おくゆき
奥行き	おくゆき
奥行き知覚	おくゆきちかく
奥行知覚	おくゆきちかく
奥許し	おくゆるし
奥陶紀	おうとうき
奨め	すすめ
奨める	すすめる
奨励	しょうれい
奨励賞	しょうれいしょう
奨励金	しょうれいきん
奨学	しょうがく
奨学生	しょうがくせい
奨学資金	しょうがくしきん
奨学金	しょうがくきん
奪い去る	うばいさる
奪い取る	うばいとる
奪い合い	うばいあい
奪い合う	うばいあう
奪い返す	うばいかえす
奪う	うばう
奪三振	だつさんしん
奪三振王	だつさんしんおう
奪取	だっしゅ
奪回	だっかい
奪掠	だつりゃく
奪格	だっかく
奪略	だつりゃく
奪還	だっかん
奮い立つ	ふるいたつ
奮い起こす	ふるいおこす
奮い起す	ふるいおこす
奮う	ふるう
奮って	ふるって
奮励	ふんれい
奮励努力	ふんれいどりょく
奮戦	ふんせん
奮撃	ふんげき
奮激	ふんげき
奮然	ふんぜん
奮発	ふんぱつ
奮起	ふんき
奮起一番	ふんきいちばん
奮迅	ふんじん
奮闘	ふんとう
奮闘努力	ふんとうどりょく
奮飛	ふんぴ
女	じょ
女々しい	めめしい
女だてらに	おんなだてらに
女っぽい	おんなっぽい
女っ振り	おんなっぷり
女っ気	おんなっけ
女と交わる	おんなとまじわる
女と戯れる	おんなとたわむれる
女に不自由	おんなにふじゆう
女に化ける	おんなにばける
女に心を奪われる	おんなにこころをうばわれる
女に狂う	おんなにくるう
女のコ	おんなのこ
女の人	おんなのひと
女の味を知る	おんなのあじをしる
女の姿になる	おんなのすがたになる
女の子	おんなのこ
女の子奴	ひ
女の性	おんなのさが
女の手	おんなのて
女の童	めのわらべ
女らしい	おんならしい
女を丸め込む	おんなをまるめこむ
女を犯す	おんなをおかす
女一般	おんないっぱん
女丈夫	じょじょうふ
女三人寄れば姦しい	おんなさんにんよればかしましい
女世帯	おんなじょたい
女中	じょちゅう
女中奉公	じょちゅうぼうこう
女主	おんなあるじ
女主人	おんなしゅじん
女人	にょにん
女人禁制	にょにんきんぜい
女人結界	にょにんけっかい
女体	にょたい
女体盛り	にょたいもり
女便所	おんなべんじょ
女偏	おんなへん
女傑	じょけつ
女優	じょゆう
女児	じょじ
女冥利	おんなみょうり
女医	じょい
女友達	おんなともだち
女史	じょし
女囚	じょしゅう
女坂	おんなざか
女垂らし	おんなたらし
女墻	ひめがき
女声	じょせい
女声合唱	じょせいがっしょう
女女しい	めめしい
女好き	おんなずき
女婿	じょせい
女嫌い	おんなぎらい
女子	じょし
女子アナ	じょしアナ
女子供	おんなこども
女子割礼	じょしかつれい
女子大	じょしだい
女子大学	じょしだいがく
女子大生	じょしだいせい
女子学生	じょしがくせい
女子寮	じょしりょう
女子専用	じょしせんよう
女子挺身隊	じょしていしんたい
女子校	じょしこう
女子短大	じょしたんだい
女子短期大学	じょしたんきだいがく
女子竹	おなごだけ
女子部	じょしぶ
女子高	じょしこう
女子高生	じょしこうせい
女学校	じょがっこう
女学生	じょがくせい
女官	じょかん
女寡	おんなやもめ
女寡婦	おんなやもめ
女将	おかみ
女尊	じょそん
女尊男卑	じょそんだんぴ
女工	じょこう
女工哀史	じょこうあいし
女帝	じょてい
女帯	おんなおび
女店員	じょてんいん
女形	おやま
女御	にょうご
女心	おんなごころ
女心と秋の空	おんなごころとあきのそら
女性	じょせい
女性ホルモン	じょせいホルモン
女性一般	じょせいいっぱん
女性上位	じょせいじょうい
女性候補	じょせいこうほ
女性像	じょせいぞう
女性優位論者	じょせいゆういろんしゃ
女性化	じょせいか
女性参政権	じょせいさんせいけん
女性名詞	じょせいめいし
女性器	じょせいき
女性器切除	じょせいきせつじょ
女性天皇	じょせいてんのう
女性嫌悪	じょせいけんお
女性学	じょせいがく
女性専用車両	じょせいせんようしゃりょう
女性差別	じょせいさべつ
女性徒	じょせいと
女性性器切除	じょせいせいきせつじょ
女性用	じょせいよう
女性的	じょせいてき
女性美	じょせいび
女性蔑視	じょせいべっし
女性観	じょせいかん
女性解放論	じょせいかいほうろん
女性解放運動	じょせいかいほううんどう
女性解放運動家	じょせいかいほううんどうか
女性語	じょせいご
女性軍	じょせいぐん
女性遍歴	じょせいへんれき
女房	にょうぼう
女房と畳は新しいほうがいい	にょうぼうとたたみはあたらしいほうがいい
女房と畳は新しい方がいい	にょうぼうとたたみはあたらしいほうがいい
女房と畳は新しい方がよい	にょうぼうとたたみはあたらしいほうがいい
女房と畳は新しい方が良い	にょうぼうとたたみはあたらしいほうがいい
女房天下	にょうぼうてんか
女房孝行	にょうぼうこうこう
女房役	にょうぼうやく
女房持ち	にょうぼうもち
女房詞	にょうぼうことば
女所帯	おんなじょたい
女手	おんなで
女持ち	おんなもち
女振り	おんなぶり
女文字	おんなもじ
女方	おやま
女旱	おんなひでり
女権	じょけん
女権拡張	じょけんかくちょう
女権拡張論者	じょけんかくちょうろんしゃ
女権論者	じょけんろんしゃ
女権運動	じょけんうんどう
女歌舞伎	おんなかぶき
女殺し	おんなごろし
女気	おんなぎ
女波	めなみ
女流	じょりゅう
女流作家	じょりゅうさっか
女流文学者	じょりゅうぶんがくしゃ
女湯	おんなゆ
女滝	めだき
女物	おんなもの
女狂い	おんなぐるい
女王	じょおう
女王らしい	じょおうらしい
女王蜂	じょおうばち
女王蟻	じょおうあり
女王陛下	じょおうへいか
女生	じょせい
女生徒	じょせいと
女男性寮	めおせいりょう
女癖	おんなぐせ
女盛り	おんなざかり
女相撲	おんなずもう
女神	めがみ
女竹	めだけ
女系	じょけい
女系天皇	じょけいてんのう
女給	じょきゅう
女腹	おんなばら
女自身	おんなじしん
女色	じょしょく
女衒	ぜげん
女装	じょそう
女親	おんなおや
女誑し	おんなたらし
女護が島	にょごがしま
女遊び	おんなあそび
女道楽	おんなどうらく
女達	おんなたち
女郎	じょろう
女郎屋	じょろうや
女郎花	おみなえし
女郎蜘蛛	じょろうぐも
女雛	めびな
女難	じょなん
女難の相	じょなんのそう
奴	やつこ
奴さん	やっこさん
奴ら	やつら
奴僕	ぬぼく
奴凧	やっこだこ
奴国	なのくに
奴婢	どひ
奴智鮫	どちざめ
奴等	やつら
奴豆腐	やっこどうふ
奴輩	どはい
奴隷	どれい
奴隷制度	どれいせいど
奴隷制度廃止	どれいせいどはいし
奴隷労働	どれいろうどう
奴隷根性	どれいこんじょう
奴隷解放	どれいかいほう
奴隷道徳	どれいどうとく
奴髭	やっこひげ
奸佞邪智	かんねいじゃち
奸佞邪知	かんねいじゃち
奸知	かんち
奸策	かんさく
奸計	かんけい
奸黠	かんかつ
好々爺	こうこうや
好い	よい
好い人	いいひと
好い仲	いいなか
好い加減	いいかげん
好い加減にする	いいかげんにする
好い子	いいこ
好い子になる	いいこになる
好い子ぶる	いいこぶる
好い年	いいとし
好い気	いいき
好い気味	いいきみ
好い線	いいせん
好い線を行く	いいせんをいく
好い線行く	いいせんいく
好い顔	いいかお
好き	ずき
好きずき	すきずき
好きだ	すきだ
好きなように	すきなように
好きにする	すきにする
好きになる	すきになる
好き勝手	すきかって
好き好き	すきずき
好き好む	すきこのむ
好き嫌い	すききらい
好き放題	すきほうだい
好き者	すきもの
好く	すく
好ましい	このましい
好ましからざる人物	このましからざるじんぶつ
好み	ごのみ
好みにより	このみにより
好む	このむ
好んで	このんで
好ゲーム	こうゲーム
好プレー	こうプレー
好一対	こういっつい
好下物	こうかぶつ
好事	こうじ
好事多魔	こうじたま
好事家	こうずか
好事魔多し	こうじまおおし
好人物	こうじんぶつ
好例	こうれい
好個	こうこ
好印象	こういんしょう
好取組	こうとりくみ
好古	こうこ
好塩菌	こうえんきん
好天	こうてん
好天気	こうてんき
好奇	こうき
好奇心	こうきしん
好奇心は猫をも殺す	こうきしんはねこをもころす
好奇心旺盛	こうきしんおうせい
好奇心猫を殺す	こうきしんねこをころす
好好爺	こうこうや
好学	こうがく
好守	こうしゅ
好宜	こうぎ
好尚	こうしょう
好影響	こうえいきょう
好悪	こうお
好意	こうい
好意的	こういてき
好感	こうかん
好成績	こうせいせき
好戦	こうせん
好戦国	こうせんこく
好戦的	こうせんてき
好戦的な人	こうせんてきなひと
好手	こうしゅ
好打	こうだ
好打者	こうだしゃ
好投	こうとう
好敵手	こうてきしゅ
好景気	こうけいき
好望	こうぼう
好期	こうき
好材料	こうざいりょう
好条件	こうじょうけん
好業績	こうぎょうせき
好機	こうき
好機を逃す	こうきをのがす
好機到来	こうきとうらい
好気	こうき
好気性生物	こうきせいせいぶつ
好気性細菌	こうきせいさいきん
好況	こうきょう
好演	こうえん
好漢	こうかん
好物	こうぶつ
好球	こうきゅう
好男子	こうだんし
好結果	こうけっか
好色	こうしょく
好色っ漢	こうしょっかん
好色家	こうしょくか
好色文学	こうしょくぶんがく
好色本	こうしょくぼん
好色漢	こうしょくかん
好色者	こうしょくしゃ
好角家	こうかくか
好評	こうひょう
好評嘖々	こうひょうさくさく
好評嘖嘖	こうひょうさくさく
好誼	こうぎ
好調	こうちょう
好走	こうそう
好転	こうてん
好逑	こうきゅう
好運	こううん
好適	こうてき
好選手	こうせんしゅ
好都合	こうつごう
好配	こうはい
好餌	こうじ
如	にょ
如かず	しかず
如き	ごとき
如く	しく
如くは無し	しくはなし
如し	ごとし
如上	じょじょう
如何	いかが
如何いう	どういう
如何して	どうして
如何しても	どうしても
如何せん	いかんせん
如何とでも	どうとでも
如何とも	どうとも
如何ともし難い	いかんともしがたい
如何な	いかな
如何なる	いかなる
如何に	いかに
如何にして	いかにして
如何にも	どうにも
如何わしい	いかがわしい
如何様	いかよう
如何様師	いかさまし
如何物	いかもの
如何程	いかほど
如何致しまして	どういたしまして
如何許	いかばかり
